ticker,asset_type,security_type,accounting_profile,issuer_name,cnpj,cvm_code,sector,industry,status
ALUP4,stock,stock,non_financial,ALUPAR INVESTIMENTO S/A,08364948000138,21490,Utilities,,active
ALUP4F,stock,stock,non_financial,ALUPAR INVESTIMENTO S/A,08364948000138,21490,Utilities,,active
AMAR3,stock,stock,non_financial,MARISA LOJAS SA,61189288000189,22055,Retail Trade,Tecidos. Vestuário e Calçados,active
AMAR3F,stock,stock,non_financial,MARISA LOJAS SA,61189288000189,22055,Retail Trade,,active
AMBP3,stock,stock,non_financial,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,12648266000124,24961,Commercial Services,Água e Saneamento,active
AMER3,stock,stock,non_financial,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,20990,Retail Trade,Produtos Diversos,active
AMOB3,stock,stock,non_financial,AUTOMOB PARTICIPAÇÕES S.A.,35654688000108,27707,Retail Trade,Automóveis e Motocicletas,active
AMOB3F,stock,stock,non_financial,AUTOMOB PARTICIPAÇÕES S.A.,35654688000108,27707,Retail Trade,,active
ANIM3,stock,stock,non_financial,ANIMA HOLDING S/A,09288252000132,23248,Consumer Services,Serviços Educacionais,active
ANIM3F,stock,stock,non_financial,ANIMA HOLDING S/A,09288252000132,23248,Consumer Services,,active
ARML3,stock,stock,non_financial,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",00242184000104,26069,Finance,Máq. e Equip. Industriais,active
ARML3F,stock,stock,non_financial,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",00242184000104,26069,Finance,,active
ARND3,stock,stock,non_financial,ARANDU INVESTIMENTOS S.A.,14127813000151,25887,Commercial Services,Emp. Adm. Part. - Intermediação Financeira,active
ASAI3,stock,stock,non_financial,SENDAS DISTRIBUIDORA S.A.,06057223000171,25372,Retail Trade,Alimentos,active
ASAI3F,stock,stock,non_financial,SENDAS DISTRIBUIDORA S.A.,06057223000171,25372,Retail Trade,,active
ATED3,stock,stock,non_financial,ATOM EDUCAÇÃO E EDITORA S.A.,23994857000170,27677,Technology Services,Serviços Educacionais,active
ATED3F,stock,stock,non_financial,ATOM EDUCAÇÃO E EDITORA S.A.,23994857000170,27677,Technology Services,,active
AUAU3,stock,stock,non_financial,UNIÃO PET PARTICIPAÇÕES S.A.,53153938000108,27766,Process Industries,Produtos Diversos,active
AUAU3F,stock,stock,non_financial,UNIÃO PET PARTICIPAÇÕES S.A.,53153938000108,27766,Process Industries,,active
AURE3,stock,stock,non_financial,AUREN ENERGIA S.A,28594234000123,26620,Utilities,Energia Elétrica,active
AURE3F,stock,stock,non_financial,AUREN ENERGIA S.A,28594234000123,26620,Utilities,,active
AVLL3,stock,stock,non_financial,ALPHAVILLE S.A.,16811931000100,25275,Finance,Incorporações,active
AVLL3F,stock,stock,non_financial,ALPHAVILLE S.A.,16811931000100,25275,Finance,,active
AXIA3,stock,stock,non_financial,AXIA ENERGIA S.A.,00001180000126,2437,Utilities,Emp. Adm. Part. - Energia Elétrica,active
AZEV3,stock,stock,non_financial,AZEVEDO & TRAVASSOS SA,61351532000168,11975,Industrial Services,Construção Pesada,active
AZTE3,stock,stock,non_financial,AZEVEDO & TRAVASSOS ENERGIA S.A.,52017473000103,27626,Energy Minerals,,active
AZTE3F,stock,stock,non_financial,AZEVEDO & TRAVASSOS ENERGIA S.A.,52017473000103,27626,Energy Minerals,,active
AZUL3,stock,stock,non_financial,AZUL S.A.,09305994000129,24112,Transportation,,active
AZUL3F,stock,stock,non_financial,AZUL S.A.,09305994000129,24112,Transportation,,active
AZUL97,stock,unit,non_financial,AZUL S.A.,09305994000129,24112,Transportation,,active
AZUL98,stock,unit,non_financial,AZUL S.A.,09305994000129,24112,Transportation,,active
AZUL99,stock,unit,non_financial,AZUL S.A.,09305994000129,24112,Transportation,,active
AZZA3,stock,stock,non_financial,AZZAS 2154 S.A.,16590234000176,22349,Consumer Non-Durables,"Tecidos, Vestuário e Calçados",active
AZZA3F,stock,stock,non_financial,AZZAS 2154 S.A.,16590234000176,22349,Consumer Non-Durables,,active
B1003,stock,stock,non_financial,B100 S.A.,52270350000171,27634,Finance,,active
B1003F,stock,stock,non_financial,B100 S.A.,52270350000171,27634,Finance,,active
B3SA3,stock,stock,non_financial,"B3 S.A. - BRASIL, BOLSA, BALCÃO",09346601000125,21610,Finance,Dados Financeiros e Bolsas de Valores,active
B3SA3F,stock,stock,non_financial,"B3 S.A. - BRASIL, BOLSA, BALCÃO",09346601000125,21610,Finance,,active
BALM3,stock,stock,non_financial,BAUMER SA,61374161000130,1562,Health Technology,Equipamentos,active
BALM3F,stock,stock,non_financial,BAUMER SA,61374161000130,1562,Health Technology,,active
BALM4,stock,stock,non_financial,BAUMER SA,61374161000130,1562,Health Technology,,active
BALM4F,stock,stock,non_financial,BAUMER SA,61374161000130,1562,Health Technology,,active
BAUH4F,stock,stock,non_financial,EXCELSIOR ALIMENTOS SA.,95426862000197,1570,Distribution Services,,active
BAZA3,stock,stock,bank,BANCO DA AMAZÔNIA S.A.,04902979000144,922,Finance,Bancos,active
BBAS3,stock,stock,bank,BANCO DO BRASIL S.A.,00000000000191,1023,Finance,Bancos Diversificados,active
BBDC3,stock,stock,bank,BANCO BRADESCO S.A.,60746948000112,906,Finance,Bancos,active
BBDC4,stock,stock,bank,BANCO BRADESCO S.A.,60746948000112,906,Finance,Bancos Diversificados,active
BBSE3,stock,stock,non_financial,BB SEGURIDADE PARTICIPAÇÕES S.A.,17344597000194,23159,Finance,Seguradoras,active
BBSE3F,stock,stock,non_financial,BB SEGURIDADE PARTICIPAÇÕES S.A.,17344597000194,23159,Finance,,active
BDLL3,stock,stock,non_financial,BARDELLA S.A. INDUSTRIAS MECANICAS - EM RECUPERAÇÃO JUDICIAL,60851615000153,1520,Producer Manufacturing,Máq. e Equip. Industriais,active
BEEF3,stock,stock,non_financial,MINERVA S/A,67620377000114,20931,Distribution Services,Carnes e Derivados,active
BEEF3F,stock,stock,non_financial,MINERVA S/A,67620377000114,20931,Distribution Services,,active
BEES3,stock,stock,bank,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,28127603000178,1155,Finance,Bancos,active
BHIA3,stock,stock,non_financial,GRUPO CASAS BAHIA S.A.,33041260065290,6505,Retail Trade,Eletrodomésticos,active
BHIA3F,stock,stock,non_financial,GRUPO CASAS BAHIA S.A.,33041260065290,6505,Retail Trade,,active
BIED3,stock,stock,non_financial,BIOMA EDUCAÇÃO S.A.,45987245000192,701,Consumer Services,Serviços Educacionais,active
BIED3F,stock,stock,non_financial,BIOMA EDUCAÇÃO S.A.,45987245000192,701,Consumer Services,,active
BIOM3,stock,stock,non_financial,BIOMM SA,04752991000110,19305,Health Technology,Medicamentos e Outros Produtos,active
BIOM3F,stock,stock,non_financial,BIOMM SA,04752991000110,19305,Health Technology,,active
BLAU3,stock,stock,non_financial,BLAU FARMACÊUTICA S.A.,58430828000160,24627,Health Technology,Medicamentos e Outros Produtos,active
BLAU3F,stock,stock,non_financial,BLAU FARMACÊUTICA S.A.,58430828000160,24627,Health Technology,,active
BMEB3,stock,stock,bank,BANCO MERCANTIL BRASIL SA,17184037000110,1325,Finance,Bancos,active
BMGB4,stock,stock,bank,BANCO BMG S/A,61186680000174,24600,Finance,Bancos,active
BMGB4F,stock,stock,non_financial,BANCO BMG S/A,61186680000174,24600,Finance,,active
BMIN3,stock,stock,bank,BANCO MERCANTIL DE INVESTIMENTOS S.A.,34169557000172,1309,Finance,Bancos,active
BMKS3,stock,stock,non_financial,BICICLETAS MONARK SA,56992423000190,1694,Consumer Durables,Bicicletas,active
BMOB3,stock,stock,non_financial,BEMOBI MOBILE TECH S.A.,09042817000105,25500,Technology Services,Programas e Serviços,active
BMOB3F,stock,stock,non_financial,BEMOBI MOBILE TECH S.A.,09042817000105,25500,Technology Services,,active
BNBR3,stock,stock,bank,BANCO DO NORDESTE DO BRASIL SA,07237373000120,1228,Finance,Bancos,active
BPAC11,stock,unit,bank,BANCO BTG PACTUAL S/A,30306294000145,22616,Finance,Bancos,active
BPAC3,stock,stock,bank,BANCO BTG PACTUAL S/A,30306294000145,22616,Finance,Bancos,active
BRAP3,stock,stock,non_financial,BRADESPAR S/A,03847461000192,18724,Finance,Minerais Metálicos,active
BRAP3F,stock,stock,non_financial,BRADESPAR S/A,03847461000192,18724,Finance,,active
BRAP4,stock,stock,non_financial,BRADESPAR S/A,03847461000192,18724,Finance,,active
BRAP4F,stock,stock,non_financial,BRADESPAR S/A,03847461000192,18724,Finance,,active
BRAV3,stock,stock,non_financial,BRAVA ENERGIA S.A.,12091809000155,25291,Energy Minerals,Exploração e Produção de Petróleo,active
BRAV3F,stock,stock,non_financial,BRAVA ENERGIA S.A.,12091809000155,25291,Energy Minerals,,active
BRBI11,stock,unit,bank,BRBI BR PARTNERS S.A,10739356000103,25860,Finance,Bancos,active
BRBI11F,stock,stock,non_financial,BRBI BR PARTNERS S.A,10739356000103,25860,Finance,,active
BRKM3,stock,stock,non_financial,BRASKEM S.A.,42150391000170,4820,Process Industries,Petroquímicos,active
BRKM3F,stock,stock,non_financial,BRASKEM S.A.,42150391000170,4820,Process Industries,,active
BRKM5,stock,stock,non_financial,BRASKEM S.A.,42150391000170,4820,Process Industries,Petroquímicos,active
BRKM5F,stock,stock,non_financial,BRASKEM S.A.,42150391000170,4820,Process Industries,,active
BRKM6,stock,stock,non_financial,BRASKEM S.A.,42150391000170,4820,Process Industries,,active
BRKM6F,stock,stock,non_financial,BRASKEM S.A.,42150391000170,4820,Process Industries,,active
BRSR3,stock,stock,bank,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,92702067000196,1210,Finance,Bancos,active
BRST3,stock,stock,non_financial,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,04601397000128,27693,Communications,Telecomunicações,active
BRST3F,stock,stock,non_financial,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,04601397000128,27693,Communications,,active
BSLI3,stock,stock,bank,BRB BANCO DE BRASILIA SA,00000208000100,14206,Finance,Bancos,active
CALI3F,stock,stock,non_financial,CONSTRUTORA ADOLPHO LINDENBERG S.A.,61022042000118,4723,Industrial Services,,active
CAMB3,stock,stock,non_financial,CAMBUCI SA,61088894000108,2100,Consumer Non-Durables,Calçados,active
CAMB3F,stock,stock,non_financial,CAMBUCI SA,61088894000108,2100,Consumer Non-Durables,,active
CAML3,stock,stock,non_financial,CAMIL ALIMENTOS S/A,64904295000103,24228,Process Industries,Alimentos Diversos,active
CAML3F,stock,stock,non_financial,CAMIL ALIMENTOS S/A,64904295000103,24228,Process Industries,,active
CASH3,stock,stock,non_financial,MELIUZ S.A.,14110585000107,25232,Commercial Services,Programas e Serviços,active
CBAV3,stock,stock,non_financial,COMPANHIA BRASILEIRA DE ALUMINIO,61409892000173,25984,Non-Energy Minerals,Minerais Metálicos,active
CBEE3,stock,stock,non_financial,AMPLA ENERGIA E SERVIÇOS S.A.,33050071000158,3050,Utilities,Energia Elétrica,active
CCTY3,stock,stock,non_financial,BELORA RDVC CITY DESENVOLVIMENTO IMOBILIÁRIO S.A.,52805925000103,27570,Consumer Durables,,active
CCTY3F,stock,stock,non_financial,BELORA RDVC CITY DESENVOLVIMENTO IMOBILIÁRIO S.A.,52805925000103,27570,Consumer Durables,,active
CEAB3,stock,stock,non_financial,C&A MODAS S.A.,45242914000105,24848,Retail Trade,Tecidos. Vestuário e Calçados,active
CEBR3,stock,stock,non_financial,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,00070698000111,14451,Utilities,Energia Elétrica,active
CEEB3,stock,stock,non_financial,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,15139629000194,14524,Utilities,Energia Elétrica,active
CEED3,stock,stock,non_financial,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,08467115000100,20648,Utilities,Energia Elétrica,active
CEGR3,stock,stock,non_financial,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,33938119000169,16616,Utilities,Gás,active
CGAS3,stock,stock,non_financial,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,61856571000117,15636,Utilities,Gás,active
CGRA3,stock,stock,non_financial,GRAZZIOTIN SA,92012467000170,4537,Retail Trade,Tecidos. Vestuário e Calçados,active
CGRA3F,stock,stock,non_financial,GRAZZIOTIN SA,92012467000170,4537,Retail Trade,,active
CGRA4,stock,stock,non_financial,GRAZZIOTIN SA,92012467000170,4537,Retail Trade,,active
CGRA4F,stock,stock,non_financial,GRAZZIOTIN SA,92012467000170,4537,Retail Trade,,active
CLSC3,stock,stock,non_financial,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,83878892000155,2461,Utilities,Energia Elétrica,active
CMIG3,stock,stock,non_financial,CIA ENERG MINAS GERAIS - CEMIG,17155730000164,2453,Utilities,Energia Elétrica,active
CMIG4,stock,stock,non_financial,CIA ENERG MINAS GERAIS - CEMIG,17155730000164,2453,Utilities,Energia Elétrica,active
CMIN3,stock,stock,non_financial,CSN MINERAÇÃO S.A.,08902291000115,25585,Non-Energy Minerals,Minerais Metálicos,active
CMIN3F,stock,stock,non_financial,CSN MINERAÇÃO S.A.,08902291000115,25585,Non-Energy Minerals,,active
COCE3,stock,stock,non_financial,CIA ENERG CEARA - COELCE,07047251000170,14869,Utilities,Energia Elétrica,active
COGN3,stock,stock,non_financial,COGNA EDUCAÇÃO S.A.,02800026000140,17973,Commercial Services,Serviços Educacionais,active
COGN3F,stock,stock,non_financial,COGNA EDUCAÇÃO S.A.,02800026000140,17973,Commercial Services,,active
CPFE3,stock,stock,non_financial,CPFL ENERGIA SA,02429144000193,18660,Utilities,Energia Elétrica,active
CPFE3F,stock,stock,non_financial,CPFL ENERGIA SA,02429144000193,18660,Utilities,,active
CPLE3,stock,stock,non_financial,COMPANHIA PARANAENSE DE ENERGIA COPEL,76483817000120,14311,Utilities,Energia Elétrica,active
CRPG5,stock,stock,non_financial,TRONOX PIGMENTOS DO BRASIL S.A.,15115504000124,11398,Process Industries,,active
CRPG5F,stock,stock,non_financial,TRONOX PIGMENTOS DO BRASIL S.A.,15115504000124,11398,Process Industries,,active
CRPG6,stock,stock,non_financial,TRONOX PIGMENTOS DO BRASIL S.A.,15115504000124,11398,Process Industries,,active
CRPG6F,stock,stock,non_financial,TRONOX PIGMENTOS DO BRASIL S.A.,15115504000124,11398,Process Industries,,active
CSAN3,stock,stock,non_financial,COSAN S.A.,50746577000115,19836,Utilities,"Exploração, Refino e Distribuição",active
CSAN3F,stock,stock,non_financial,COSAN S.A.,50746577000115,19836,Utilities,,active
CSED3,stock,stock,non_financial,CRUZEIRO DO SUL EDUCACIONAL S.A.,62984091000102,25526,Consumer Services,Serviços Educacionais,active
CSED3F,stock,stock,non_financial,CRUZEIRO DO SUL EDUCACIONAL S.A.,62984091000102,25526,Consumer Services,,active
CSMG3,stock,stock,non_financial,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,17281106000103,19445,Utilities,Água e Saneamento,active
CSNA3,stock,stock,non_financial,CIA SIDERURGICA NACIONAL,33042730000104,4030,Non-Energy Minerals,Siderurgia,active
CSNA3F,stock,stock,non_financial,CIA SIDERURGICA NACIONAL,33042730000104,4030,Non-Energy Minerals,,active
CSUD3,stock,stock,non_financial,CSU DIGITAL S.A.,01896779000138,20044,Commercial Services,Serviços Financeiros Diversos,active
CSUD3F,stock,stock,non_financial,CSU DIGITAL S.A.,01896779000138,20044,Commercial Services,,active
CTKA4,stock,stock,non_financial,KARSTEN SA,82640558000104,4146,Process Industries,,active
CTKA4F,stock,stock,non_financial,KARSTEN SA,82640558000104,4146,Process Industries,,active
CURY3,stock,stock,non_financial,CURY CONSTRUTORA E INCORPORADORA S.A.,08797760000183,25100,Finance,Incorporações,active
CURY3F,stock,stock,non_financial,CURY CONSTRUTORA E INCORPORADORA S.A.,08797760000183,25100,Finance,,active
CVCB3,stock,stock,non_financial,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA,10760260000119,23310,Consumer Services,Viagens e Turismo,active
CVCB3F,stock,stock,non_financial,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA,10760260000119,23310,Consumer Services,,active
CXSE3,stock,stock,non_financial,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,22543331000100,23795,Finance,Seguradoras,active
CXSE3F,stock,stock,non_financial,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,22543331000100,23795,Finance,,active
CYRE3,stock,stock,non_financial,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73178600000118,14460,Finance,Incorporações,active
CYRE3F,stock,stock,non_financial,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73178600000118,14460,Finance,,active
CYRE4,stock,stock,non_financial,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73178600000118,14460,Finance,,active
CYRE4F,stock,stock,non_financial,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73178600000118,14460,Finance,,active
DASA3,stock,stock,non_financial,DIAGNOSTICOS DA AMERICA SA,61486650000183,19623,Health Services,Serv.Méd.Hospit..Análises e Diagnósticos,active
DASA3F,stock,stock,non_financial,DIAGNOSTICOS DA AMERICA SA,61486650000183,19623,Health Services,,active
DESK3,stock,stock,non_financial,DESKTOP S.A,08170849000115,26026,Communications,Telecomunicações,active
DESK3F,stock,stock,non_financial,DESKTOP S.A,08170849000115,26026,Communications,,active
DEXP3,stock,stock,non_financial,DEXXOS PARTICIPAÇÕES S.A.,02193750000152,16632,Process Industries,Petroquímicos,active
DIRR3,stock,stock,non_financial,DIRECIONAL ENGENHARIA SA,16614075000100,21350,Finance,Incorporações,active
DIRR3F,stock,stock,non_financial,DIRECIONAL ENGENHARIA SA,16614075000100,21350,Finance,,active
DMVF3,stock,stock,non_financial,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,12108897000150,25046,Distribution Services,Medicamentos e Outros Produtos,active
DMVF3F,stock,stock,non_financial,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,12108897000150,25046,Distribution Services,,active
DOHL3,stock,stock,non_financial,DOHLER S.A.,84683408000103,5207,Process Industries,Fios e Tecidos,active
DOHL3F,stock,stock,non_financial,DOHLER S.A.,84683408000103,5207,Process Industries,,active
DOHL4,stock,stock,non_financial,DOHLER S.A.,84683408000103,5207,Process Industries,,active
DOHL4F,stock,stock,non_financial,DOHLER S.A.,84683408000103,5207,Process Industries,,active
DOTZ3,stock,stock,non_financial,DOTZ S.A.,18174270000184,25836,Technology Services,Programas de Fidelização,active
DOTZ3F,stock,stock,non_financial,DOTZ S.A.,18174270000184,25836,Technology Services,,active
DTCY3,stock,stock,non_financial,DTCOM - DIRECT TO COMPANY S.A.,03303999000136,18597,Communications,Serviços Diversos,active
DTCY3F,stock,stock,non_financial,DTCOM - DIRECT TO COMPANY S.A.,03303999000136,18597,Communications,,active
DXCO3,stock,stock,non_financial,DEXCO S.A.,97837181000147,21091,Producer Manufacturing,Madeira,active
DXCO3F,stock,stock,non_financial,DEXCO S.A.,97837181000147,21091,Producer Manufacturing,,active
EALT3,stock,stock,non_financial,ELECTRO AÇO ALTONA S/A,82643537000134,5380,Producer Manufacturing,Máq. e Equip. Industriais,active
ECOM3,stock,stock,non_financial,ECONOMATICA S.A.,26345998000150,26077,Technology Services,Comunicação e Informática,active
ECOR3,stock,stock,non_financial,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04149454000180,19453,Transportation,Exploração de Rodovias,active
ECOR3F,stock,stock,non_financial,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04149454000180,19453,Transportation,,active
EGIE3,stock,stock,non_financial,ENGIE BRASIL ENERGIA S.A.,02474103000119,17329,Utilities,Energia Elétrica,active
EGIE3F,stock,stock,non_financial,ENGIE BRASIL ENERGIA S.A.,02474103000119,17329,Utilities,,active
EKTR3F,stock,stock,non_financial,ELEKTRO REDES S.A.,02328280000197,17485,Utilities,,active
EKTR4,stock,stock,non_financial,ELEKTRO REDES S.A.,02328280000197,17485,Utilities,,active
EKTR4F,stock,stock,non_financial,ELEKTRO REDES S.A.,02328280000197,17485,Utilities,,active
EMAE4,stock,stock,non_financial,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,02302101000142,16993,Utilities,,active
EMAE4F,stock,stock,non_financial,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,02302101000142,16993,Utilities,,active
EMBJ3,stock,stock,non_financial,EMBRAER S.A.,07689002000189,20087,Electronic Technology,"Máquinas, Equipamentos, Veículos e Peças",active
ENEV3,stock,stock,non_financial,ENEVA S.A.,04423567000121,21237,Utilities,Energia Elétrica,active
ENEV3F,stock,stock,non_financial,ENEVA S.A.,04423567000121,21237,Utilities,,active
ENGI11,stock,unit,non_financial,ENERGISA SA,00864214000106,15253,Utilities,Energia Elétrica,active
ENGI11F,stock,stock,non_financial,ENERGISA SA,00864214000106,15253,Utilities,,active
ENGI3,stock,stock,non_financial,ENERGISA SA,00864214000106,15253,Utilities,Energia Elétrica,active
ENGI3F,stock,stock,non_financial,ENERGISA SA,00864214000106,15253,Utilities,,active
ENGI4,stock,stock,non_financial,ENERGISA SA,00864214000106,15253,Utilities,,active
ENGI4F,stock,stock,non_financial,ENERGISA SA,00864214000106,15253,Utilities,,active
ENJU3,stock,stock,non_financial,ENJOEI S.A.,16922038000151,25259,Retail Trade,Programas e Serviços,active
ENJU3F,stock,stock,non_financial,ENJOEI S.A.,16922038000151,25259,Retail Trade,,active
ENMT3,stock,stock,non_financial,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03467321000199,14605,Utilities,Energia Elétrica,active
ENMT3F,stock,stock,non_financial,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03467321000199,14605,Utilities,,active
ENMT4,stock,stock,non_financial,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03467321000199,14605,Utilities,,active
ENMT4F,stock,stock,non_financial,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03467321000199,14605,Utilities,,active
EPAR3,stock,stock,non_financial,EMBPAR PARTICIPAÇÕES S/A,42331462000131,15458,Producer Manufacturing,Material de Transporte,active
EQMA3B,stock,stock,non_financial,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,06272793000184,16608,Utilities,Energia Elétrica,active
EQMA3BF,stock,stock,non_financial,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,06272793000184,16608,Utilities,,active
EQPA3,stock,stock,non_financial,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,04895728000180,18309,Utilities,Energia Elétrica,active
EQTL3,stock,stock,non_financial,EQUATORIAL S.A.,03220438000173,20010,Utilities,Energia Elétrica,active
EQTL3F,stock,stock,non_financial,EQUATORIAL S.A.,03220438000173,20010,Utilities,,active
ESPA3,stock,stock,non_financial,MPM CORPÓREOS S.A.,26659061000159,25445,Consumer Services,Produtos Diversos,active
ESPA3F,stock,stock,non_financial,MPM CORPÓREOS S.A.,26659061000159,25445,Consumer Services,,active
ESTR4,stock,stock,non_financial,MANUFATURA DE  BRINQUEDOS ESTRELA SA,61082004000150,8427,Consumer Durables,,active
ESTR4F,stock,stock,non_financial,MANUFATURA DE  BRINQUEDOS ESTRELA SA,61082004000150,8427,Consumer Durables,,active
ETER3,stock,stock,non_financial,ETERNIT S.A.,61092037000181,5762,Non-Energy Minerals,Produtos para Construção,active
ETER3F,stock,stock,non_financial,ETERNIT S.A.,61092037000181,5762,Non-Energy Minerals,,active
EUCA3,stock,stock,non_financial,EUCATEX S.A. INDUSTRIA E COMERCIO,56643018000166,5770,Non-Energy Minerals,Madeira,active
EUCA3F,stock,stock,non_financial,EUCATEX S.A. INDUSTRIA E COMERCIO,56643018000166,5770,Non-Energy Minerals,,active
EUCA4,stock,stock,non_financial,EUCATEX S.A. INDUSTRIA E COMERCIO,56643018000166,5770,Non-Energy Minerals,,active
EUCA4F,stock,stock,non_financial,EUCATEX S.A. INDUSTRIA E COMERCIO,56643018000166,5770,Non-Energy Minerals,,active
EVEN3,stock,stock,non_financial,EVEN CONSTRUTORA E INCORPORADORA S/A,43470988000165,20524,Finance,Incorporações,active
EVEN3F,stock,stock,non_financial,EVEN CONSTRUTORA E INCORPORADORA S/A,43470988000165,20524,Finance,,active
EZTC3,stock,stock,non_financial,EZ TEC EMPREEND. E PARTICIPAÇÕES S/A,08312229000173,20770,Finance,Incorporações,active
FESA3,stock,stock,non_financial,CIA FERRO LIGAS BAHIA FERBASA,15141799000103,3069,Non-Energy Minerals,Siderurgia,active
