ticker,brapi_name,brapi_cnpj,reason
AXIA3F,AXIA3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EMBJ3F,EMBJ3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
HAGA4,HAGA S.A. INDUSTRIA E COMERCIO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BPAC3F,BCO BTG PACTUAL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
RAIZ4F,RAIZEN S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
JHSF3F,JHSF PARTICIPACOES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CSMG3F,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
VAMO3F,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MRVE3F,MRV ENGENHARIA E PARTICIPACOES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AZEV3F,AZEVEDO E TRAVASSOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BMEB4,BCO MERCANTIL DO BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ITUB3F,ITAU UNIBANCO HOLDING S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BSLI4,BRB BCO DE BRASILIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SAUD3F,SAUD3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AZEV4F,AZEVEDO E TRAVASSOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BPAC11F,BCO BTG PACTUAL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ONCO3F,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
TELB4,TELEC BRASILEIRAS S.A. TELEBRAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
INEP4,INEPAR S.A. INDUSTRIA E CONSTRUCOES,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PETR3F,PETROLEO BRASILEIRO S.A. PETROBRAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BRSR6F,BCO ESTADO DO RIO GRANDE DO SUL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEAB3F,CEA MODAS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ABCB4F,BCO ABC BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EZTC3F,EZ TEC EMPREEND. E PARTICIPACOES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SAPR11F,CIA SANEAMENTO DO PARANA - SANEPAR,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MBRF3F,MBRF3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
FESA4F,CIA FERRO LIGAS DA BAHIA - FERBASA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
HAPV3F,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SANB11F,BCO SANTANDER (BRASIL) S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PCAR3F,CIA BRASILEIRA DE DISTRIBUICAO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SAPR3F,CIA SANEAMENTO DO PARANA - SANEPAR,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MDIA3F,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MOVI3F,MOVIDA PARTICIPACOES SA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
VIVA3F,VIVARA PARTICIPAÇOES S.A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CASH3F,MÉLIUZ S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
UGPA3F,ULTRAPAR PARTICIPACOES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEBR5,CIA ENERGETICA DE BRASILIA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PINE4F,BCO PINE S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CMIG3F,CIA ENERGETICA DE MINAS GERAIS - CEMIG,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AXIA7F,AXIA7F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
OIBR4,OI S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
LOGG3F,LOG COMMERCIAL PROPERTIES,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SANB4F,BCO SANTANDER (BRASIL) S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AMER3F,AMERICANAS S.A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
FSRF11F,FSRF11F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SMTO3F,SAO MARTINHO S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SANB3F,BCO SANTANDER (BRASIL) S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
LIGT3F,LIGHT S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SYNE3F,SYN PROP E TECH S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ORVR3F,ORIZON VALORIZACAO DE RESIDUOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
RIAA3F,RIAA3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
COCE5,CIA ENERGETICA DO CEARA - COELCE,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SEQL3F,SEQUOIA LOGISTICA E TRANSPORTES S.A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CTAX3,CTAX3,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EALT4,ELECTRO ACO ALTONA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
INTB3F,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
OIBR3F,OI S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BEES3F,BANESTES S.A. - BCO EST ESPIRITO SANTO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BPAC5,BCO BTG PACTUAL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
TGMA3F,TEGMA GESTAO LOGISTICA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CLSC4,CENTRAIS ELET DE SANTA CATARINA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PEAB4,CIA PARTICIPACOES ALIANCA DA BAHIA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CBAV3F,COMPANHIA BRASILEIRA DE ALUMÍNIO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEBR6,CIA ENERGETICA DE BRASILIA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PASS3F,COMPASS GAS E ENERGIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
GGPS3F,GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BEES4,BANESTES S.A. - BCO EST ESPIRITO SANTO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MLAS3F,GRUPO MULTI S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BSLI3F,BRB BCO DE BRASILIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
HBRE3F,HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
OPCT3F,OCEANPACT SERVICOS MARITIMOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SNSY5,SANSUY S.A. INDUSTRIA DE PLASTICOS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BGIP4,BCO ESTADO DE SERGIPE S.A. - BANESE,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MTSA4,METISA METALURGICA TIMBOENSE S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AERI3F,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
TPIS3F,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BSLI4F,BRB BCO DE BRASILIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ABCB10,BCO ABC BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BRSR3F,BCO ESTADO DO RIO GRANDE DO SUL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEDO4,CIA FIACAO TECIDOS CEDRO CACHOEIRA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ALPK3F,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BMEB4F,BCO MERCANTIL DO BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EQPA3F,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
TOKY3F,TOKY3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BEES4F,BANESTES S.A. - BCO EST ESPIRITO SANTO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
DEXP3F,DEXXOS PARTICIPACOES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEBR3F,CIA ENERGETICA DE BRASILIA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MEAL3F,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CGAS5,CIA GAS DE SAO PAULO - COMGAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BDLL4,BARDELLA S.A. INDUSTRIAS MECANICAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EALT4F,ELECTRO ACO ALTONA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BAZA3F,BCO AMAZONIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BRSR5,BCO ESTADO DO RIO GRANDE DO SUL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
DEXP4,DEXXOS PARTICIPACOES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
TELB3F,TELEC BRASILEIRAS S.A. TELEBRAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
HBTS5,CIA HABITASUL DE PARTICIPACOES,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEBR5F,CIA ENERGETICA DE BRASILIA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CLSC4F,CENTRAIS ELET DE SANTA CATARINA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
WEST3F,WESTWING COMERCIO VAREJISTA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PINE3F,BCO PINE S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEBR6F,CIA ENERGETICA DE BRASILIA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ONCO11F,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EPAR3F,EMBPAR PARTICIPACOES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ECOM3F,ECOM3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
INEP3F,INEPAR S.A. INDUSTRIA E CONSTRUCOES,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
TELB4F,TELEC BRASILEIRAS S.A. TELEBRAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
HAGA4F,HAGA S.A. INDUSTRIA E COMERCIO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
OSXB3F,OSX BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
GSHP3F,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BNBR3F,BCO NORDESTE DO BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BPAC5F,BCO BTG PACTUAL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AGXY3F,AGROGALAXY PARTICIPAÇÕES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CGAS5F,CIA GAS DE SAO PAULO - COMGAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SNSY5F,SANSUY S.A. INDUSTRIA DE PLASTICOS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
JFEN3F,JOAO FORTES ENGENHARIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
FSPE11F,FSPE11F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
FESA3F,CIA FERRO LIGAS DA BAHIA - FERBASA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BMIN4,BCO MERCANTIL DE INVESTIMENTOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EQPA5,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
NUTR3F,NUTRIPLANT INDUSTRIA E COMERCIO S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MRSA6B,MRS LOGISTICA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
FIEI3F,FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ABCB10F,BCO ABC BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
COCE5F,CIA ENERGETICA DO CEARA - COELCE,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PLAS3F,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BOBR4F,BOMBRIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BGIP4F,BCO ESTADO DE SERGIPE S.A. - BANESE,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
LAND3F,TERRA SANTA PROPRIEDADES AGRICOLAS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
WDCN3F,WDCN3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BRSR5F,BCO ESTADO DO RIO GRANDE DO SUL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MSPA3F,CIA MELHORAMENTOS DE SAO PAULO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
OIBR4F,OI S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
INEP4F,INEPAR S.A. INDUSTRIA E CONSTRUCOES,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
DEXP4F,DEXXOS PARTICIPACOES S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ARND3F,ARND3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AHEB6F,SAO PAULO TURISMO S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
NEXP3F,NEXPE PARTICIPAÇÕES S.A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EALT3F,ELECTRO ACO ALTONA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CLSC3F,CENTRAIS ELET DE SANTA CATARINA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AHEB3F,SAO PAULO TURISMO S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEEB3F,CIA ELETRICIDADE EST. DA BAHIA - COELBA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AFLT3F,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BMEB3F,BCO MERCANTIL DO BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CTAX3F,CTAX3F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEEB5F,CIA ELETRICIDADE EST. DA BAHIA - COELBA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MSPA4F,CIA MELHORAMENTOS DE SAO PAULO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
HAGA3F,HAGA S.A. INDUSTRIA E COMERCIO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEED3F,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BPAR3F,BCO ESTADO DO PARA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BMIN4F,BCO MERCANTIL DE INVESTIMENTOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
FSTU11F,FSTU11F,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PEAB4F,CIA PARTICIPACOES ALIANCA DA BAHIA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BGIP3F,BCO ESTADO DE SERGIPE S.A. - BANESE,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MRSA5BF,MRS LOGISTICA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EQPA5F,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CGAS3F,CIA GAS DE SAO PAULO - COMGAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MTSA3F,METISA METALURGICA TIMBOENSE S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
COCE3F,CIA ENERGETICA DO CEARA - COELCE,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
EQPA7F,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
HBTS5F,CIA HABITASUL DE PARTICIPACOES,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEDO4F,CIA FIACAO TECIDOS CEDRO CACHOEIRA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MRSA3BF,MRS LOGISTICA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MTSA4F,METISA METALURGICA TIMBOENSE S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BDLL4F,BARDELLA S.A. INDUSTRIAS MECANICAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
MRSA6BF,MRS LOGISTICA S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CBEE3F,AMPLA ENERGIA E SERVICOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PEAB3F,CIA PARTICIPACOES ALIANCA DA BAHIA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SNSY3F,SANSUY S.A. INDUSTRIA DE PLASTICOS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEGR3F,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEDO3F,CIA FIACAO TECIDOS CEDRO CACHOEIRA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BMIN3F,BCO MERCANTIL DE INVESTIMENTOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
GPAR3F,CIA CELG DE PARTICIPACOES - CELGPAR,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
TXRX4F,TEXTIL RENAUXVIEW S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CEED4F,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
TXRX3F,TEXTIL RENAUXVIEW S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BDLL3F,BARDELLA S.A. INDUSTRIAS MECANICAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BRAX,BRAX,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
